,2000 Forest area (% of land area),2000 GDP per capita (constant 2010 US$),2005 Forest area (% of land area),,2005 GDP per capita (constant 2010 US$),2010 Forest area (% of land area),2010 GDP per capita (constant 2010 US$),2015 Forest area (% of land area),2015 GDP per capita (constant 2010 US$)
Spain,34.0,"28,335.0",34.6,,"31,110.0",36.5,"30,736.6",36.8,"30,532.4"
Sri Lanka,35.0,"1,824.8",33.8,,"2,132.4",33.5,"2,808.5",33.0,"3,648.2"
St. Kitts and Nevis,42.3,"12,911.3",42.3,,"14,162.2",42.3,"13,704.3",42.3,"15,469.2"
St. Lucia,34.8,"7,216.9",34.3,,"7,482.7",33.8,"8,007.7",33.3,"8,270.7"
,,,,,,,,,
St. Vincent and the Grenadines,66.7,"4,748.0",66.7,,"5,856.5",69.2,"6,231.8",69.2,"6,579.1"
Sudan,12.2,"1,003.0",11.8,,"1,190.0",11.5,"1,476.5",8.1,"1,881.9"
Suriname,98.7,"5,685.4",98.5,,"7,109.4",98.4,"8,303.3",98.3,"8,627.5"
Sweden,68.6,"44,693.7",68.8,,"49,996.2",68.4,"52,076.3",68.9,"55,395.1"
Switzerland,30.2,"67,807.9",30.8,,"70,471.4",31.3,"74,605.7",31.7,"76,472.5"
,,,,,,,,,
Tajikistan,2.9,413.6,2.9,,598.3,2.9,738.3,3.0,925.6
Tanzania,58.6,497.2,56.4,,610.8,54.1,701.6,52.0,836.0
Thailand,33.3,"3,458.1",31.5,,"4,337.3",31.8,"5,075.3",32.1,"5,739.8"
Timor-Leste,57.4,"1,345.4",53.7,,"2,559.6",49.9,"3,603.8",46.1,"3,009.1"
Togo,8.9,515.7,7.1,,476.7,5.3,487.9,3.5,545.6
Tonga,12.5,"3,275.8",12.5,,"3,521.5",12.5,"3,548.1",12.5,"3,694.5"
Trinidad and Tobago,45.5,"9,779.5",44.8,,"14,105.3",44.1,"16,683.9",45.7,"16,824.7"
Tunisia,5.4,"3,004.6",5.9,,"3,492.2",6.4,"4,140.2",6.7,"4,270.9"
Turkey,13.2,"8,237.6",13.9,,"9,692.1",14.6,"10,672.4",15.2,"13,898.7"
Turkmenistan,8.8,"2,381.2",8.8,,"2,900.1",8.8,"4,439.2",8.8,"6,693.9"
,,,,,,,,,
Tuvalu,33.3,"3,079.5",33.3,,"2,910.7",33.3,"3,021.9",33.3,"3,459.8"
Uganda,19.4,412.2,17.2,,480.1,13.7,595.2,10.4,654.1
Ukraine,16.4,"1,818.0",16.5,,"2,746.0",16.5,"2,965.1",16.7,"2,828.9"
United Arab Emirates,3.7,"62,833.3",3.7,,"56,199.0",3.8,"35,037.9",3.9,"40,753.9"
United Kingdom,12.2,"35,576.8",12.5,,"39,740.9",12.6,"38,893.0",13.0,"41,536.9"
United States,33.1,"45,055.8",33.3,,"48,755.6",33.7,"48,375.4",33.9,"51,933.4"
Uruguay,7.8,"8,997.7",8.7,,"9,068.2",9.9,"11,938.2",10.5,"13,859.4"
